sp,total_demand,mean_demand,std_demand,n_days,cv,cum_share,ABC,XYZ,Segment
6290589,1427.1,15.856667,4.506526,90,0.28420386,0.024290694,A,X,AX
3260267,1424.4,15.826667,10.001649,90,0.6319492,0.024607673,A,Y,AY
1050267,1421.2,15.791111,9.882543,90,0.62582946,0.024923941,A,Y,AY
2800267,1421.1,15.79,9.465598,90,0.5994679,0.025240187,A,Y,AY
5600267,1418.9,15.765555,9.71961,90,0.6165092,0.025555942,A,Y,AY
6390589,1407.6,15.639999,5.0908775,90,0.32550368,0.025869183,A,X,AX
6430589,1395.1,15.501111,3.9818265,90,0.25687364,0.026179643,A,X,AX
790267,1390.5,15.45,4.7096186,90,0.3048297,0.026489079,A,X,AX
8490267,1380.9,15.343333,11.364562,90,0.74068403,0.026796378,A,Y,AY
5500267,1379.7,15.33,9.426743,90,0.6149212,0.027103413,A,Y,AY
5140267,1378.9,15.321112,8.586107,90,0.5604102,0.027410267,A,Y,AY
2860267,1372.7,15.252222,8.118978,90,0.5323144,0.027715743,A,Y,AY
8880267,1367.0,15.188889,9.152459,90,0.60257596,0.028019948,A,Y,AY
5240267,1362.8,15.142222,8.637675,90,0.5704364,0.028323218,A,Y,AY
8660267,1359.4,15.1044445,10.271636,90,0.68004066,0.028625734,A,Y,AY
6450589,1354.2,15.046666,3.1948764,90,0.21233119,0.028927092,A,X,AX
8820267,1351.3,15.014445,9.802368,90,0.6528625,0.029227804,A,Y,AY
8650267,1348.1,14.9788885,11.455008,90,0.7647435,0.029527804,A,Y,AY
3560267,1344.5,14.938889,11.512921,90,0.77066785,0.029827002,A,Y,AY
4910267,1343.9,14.932222,9.215922,90,0.61718357,0.030126069,A,Y,AY
8480267,1336.5,14.85,9.105367,90,0.613156,0.030423488,A,Y,AY
6870267,1331.7,14.796666,9.158485,90,0.618956,0.03071984,A,Y,AY
2970267,1331.3,14.792223,9.14166,90,0.61800444,0.0310161,A,Y,AY
890267,1329.0,14.766666,9.215205,90,0.62405455,0.03131185,A,Y,AY
3040267,1322.3,14.692223,9.966689,90,0.678365,0.031606108,A,Y,AY
8960267,1319.3,14.65889,9.528537,90,0.6500176,0.031899698,A,Y,AY
6650267,1313.8,14.597778,9.053511,90,0.62019783,0.032192066,A,Y,AY
8700267,1310.9,14.565556,9.087096,90,0.6238757,0.03248379,A,Y,AY
1020267,1309.6,14.551111,9.056157,90,0.62236875,0.032775223,A,Y,AY
1010267,1299.1,14.434444,8.788235,90,0.6088377,0.033064317,A,Y,AY
8300267,1297.1,14.412222,9.115955,90,0.6325156,0.033352967,A,Y,AY
6150267,1291.6,14.35111,8.51331,90,0.5932161,0.033640392,A,Y,AY
6140267,1291.1,14.345555,8.779037,90,0.6119692,0.033927705,A,Y,AY
8630267,1286.5,14.294444,8.950668,90,0.62616414,0.034213997,A,Y,AY
3280267,1286.4,14.293334,9.051461,90,0.63326454,0.03450027,A,Y,AY
6010267,1281.1,14.234445,8.6561165,90,0.6081106,0.03478536,A,Y,AY
6330267,1275.9,14.176667,8.743808,90,0.61677456,0.035069294,A,Y,AY
6940589,1262.6,14.028889,3.6431017,90,0.2596857,0.035350267,A,X,AX
7480589,1256.0,13.955556,4.715409,90,0.33788756,0.03562977,A,X,AX
7300589,1249.9,13.887778,2.6290011,90,0.18930322,0.03590792,A,X,AX
3220267,1248.8,13.875556,5.577449,90,0.4019622,0.03618582,A,X,AX
8810267,1247.8,13.864445,8.663294,90,0.6248569,0.0364635,A,Y,AY
3060267,1244.7,13.83,8.601208,90,0.6219239,0.036740493,A,Y,AY
5380267,1243.0,13.811111,9.124869,90,0.6606904,0.037017103,A,Y,AY
6930589,1240.1,13.778889,4.1854076,90,0.3037551,0.03729307,A,X,AX
210267,1223.7,13.596666,10.687612,90,0.78604645,0.037565384,A,Y,AY
2900267,1219.0,13.544444,8.545596,90,0.63093,0.037836656,A,Y,AY
690267,1218.1,13.534444,7.832318,90,0.57869524,0.038107727,A,Y,AY
680267,1217.2,13.524444,5.681733,90,0.42010847,0.038378596,A,X,AX
4450267,1196.7,13.296666,8.596739,90,0.6465334,0.038644906,A,Y,AY
8920267,1179.7,13.107778,7.8132877,90,0.5960803,0.03890743,A,Y,AY
5840589,1177.8,13.086667,3.3596482,90,0.256723,0.039169535,A,X,AX
8330267,1166.0,12.955556,10.132017,90,0.7820596,0.039429013,A,Y,AY
6380589,1163.5,12.927778,3.2664459,90,0.25266877,0.03968793,A,X,AX
800267,1160.5,12.894444,6.94122,90,0.5383109,0.039946184,A,Y,AY
720589,1149.5,12.7722225,3.0671155,90,0.24013953,0.040201988,A,X,AX
650589,1144.0,12.711111,3.279163,90,0.2579761,0.04045657,A,X,AX
8800267,1137.1,12.634444,7.7431836,90,0.612863,0.040709615,A,Y,AY
7910589,1136.0,12.622222,2.8420508,90,0.22516248,0.040962413,A,X,AX
6170267,1136.0,12.622222,7.289885,90,0.57754374,0.041215215,A,Y,AY
6960589,1131.5,12.572222,3.167994,90,0.2519836,0.041467015,A,X,AX
8310267,1127.6,12.528889,7.724196,90,0.61651087,0.041717943,A,Y,AY
8860267,1126.4,12.515555,10.020921,90,0.8006773,0.04196861,A,Y,AY
5280267,1126.2,12.513332,7.358221,90,0.5880305,0.04221923,A,Y,AY
5870589,1121.4,12.46,2.7620542,90,0.2216737,0.042468783,A,X,AX
8970267,1121.2,12.457777,9.958148,90,0.79935193,0.04271829,A,Y,AY
6630267,1114.2,12.379999,7.373323,90,0.5955835,0.04296624,A,Y,AY
100267,1112.8,12.364445,7.368126,90,0.5959124,0.043213878,A,Y,AY
220267,1109.3,12.325556,10.014109,90,0.8124671,0.043460734,A,Y,AY
2680267,1106.2,12.291111,5.4520926,90,0.44358012,0.043706905,A,X,AX
8640267,1103.7,12.263332,7.2753925,90,0.5932639,0.043952517,A,Y,AY
1330267,1101.3,12.236668,6.3196225,90,0.51644963,0.044197597,A,Y,AY
4280267,1066.4,11.848889,7.227806,90,0.60999864,0.04443491,A,Y,AY
6180267,1064.1,11.823333,5.3185506,90,0.44983515,0.04467171,A,X,AX
4070589,1062.8,11.808889,3.2933588,90,0.2788881,0.044908218,A,X,AX
6520589,1054.4,11.715556,3.3692899,90,0.28759113,0.045142863,A,X,AX
3510267,1044.9,11.610001,7.544893,90,0.6498615,0.04537539,A,Y,AY
270589,1017.8,11.308888,3.672725,90,0.32476446,0.045601886,A,X,AX
1360589,1004.4,11.16,4.2100415,90,0.37724388,0.045825403,A,X,AX
8340267,1003.4,11.14889,6.6576686,90,0.5971598,0.046048697,A,Y,AY
8320267,998.9,11.098889,6.318147,90,0.5692594,0.04627099,A,Y,AY
8840267,980.2,10.891111,6.355386,90,0.5835388,0.04648912,A,Y,AY
880267,975.7,10.841111,4.541417,90,0.418907,0.046706248,A,X,AX
6970589,955.3,10.614445,3.1073513,90,0.2927474,0.046918835,A,X,AX
8100589,921.3,10.236667,2.1569042,90,0.21070376,0.047123857,A,X,AX
3380589,910.8,10.12,3.208423,90,0.31703785,0.047326542,A,X,AX
5900589,902.1,10.023333,1.9742756,90,0.19696797,0.04752729,A,X,AX
7050589,896.6,9.962222,2.7036211,90,0.27138737,0.047726814,A,X,AX
990589,889.9,9.887778,2.9112654,90,0.2944307,0.04792485,A,X,AX
2370540,878.1,9.756666,3.215449,90,0.32956433,0.048120257,A,X,AX
1250589,870.1,9.667777,2.2174907,90,0.22936924,0.048313886,A,X,AX
7600589,863.6,9.595555,2.9733994,90,0.30987257,0.048506066,A,X,AX
6460589,862.2,9.58,2.4372668,90,0.254412,0.048697937,A,X,AX
180300,855.07,9.500778,3.9265459,90,0.41328678,0.048888218,A,X,AX
3430300,828.6,9.206666,4.075269,90,0.4426433,0.04907261,A,X,AX
730589,824.0,9.155556,2.1960185,90,0.23985638,0.04925598,A,X,AX
6760589,820.5,9.116667,1.9773577,90,0.21689482,0.04943857,A,X,AX
6560589,815.2,9.057778,2.7841032,90,0.30737153,0.04961998,A,X,AX
8060756,811.2,9.013333,4.005059,90,0.44434825,0.049800504,A,X,AX
3210267,808.9,8.987778,5.241919,90,0.5832275,0.049980514,A,Y,AY
7740589,786.1,8.734445,2.6723368,90,0.30595383,0.050155446,A,X,AX
6550589,775.3,8.614445,2.1571183,90,0.25040713,0.05032798,A,X,AX
6910589,773.9,8.598889,2.8944929,90,0.3366124,0.0505002,A,X,AX
5550300,766.82,8.520223,3.65042,90,0.42844185,0.050670844,A,X,AX
6820589,763.4,8.482223,3.2566123,90,0.38393384,0.050840728,A,X,AX
8430300,756.94,8.410444,3.5189211,90,0.41839895,0.051009174,A,X,AX
7450589,748.6,8.317778,2.5859854,90,0.3108986,0.051175762,A,X,AX
2150756,740.7,8.2300005,3.5317326,90,0.4291291,0.051340595,A,X,AX
7020580,737.9,8.198889,3.407114,90,0.415558,0.051504806,A,X,AX
4170756,735.9,8.176667,4.8722568,90,0.5958732,0.051668573,A,Y,AY
7750589,728.4,8.093333,2.630538,90,0.3250253,0.051830668,A,X,AX
5540300,725.98,8.066444,3.2486095,90,0.4027313,0.051992226,A,X,AX
5560300,718.9,7.987778,3.7581694,90,0.47048995,0.05215221,A,X,AX
5770540,712.3,7.9144444,2.4483685,90,0.30935445,0.05231072,A,X,AX
2350300,704.49,7.8276668,3.0973628,90,0.39569426,0.05246749,A,X,AX
2630300,702.3,7.8033333,3.0650728,90,0.3927902,0.05262378,A,X,AX
2120300,689.86,7.665111,3.3404229,90,0.43579575,0.052777298,A,X,AX
180117,687.2,7.6355557,1.8247555,90,0.23898137,0.052930225,A,X,AX
740117,685.4,7.615556,2.0334237,90,0.26700923,0.053082753,A,X,AX
4310300,678.66,7.5406666,3.208901,90,0.42554605,0.053233776,A,X,AX
2290300,676.93,7.5214443,3.096728,90,0.41171986,0.05338442,A,X,AX
10300,676.39,7.5154448,3.1126418,90,0.414166,0.05353494,A,X,AX
8220117,657.6,7.3066664,2.6691244,90,0.36529988,0.05368128,A,X,AX
3110117,657.0,7.3,2.4248247,90,0.33216777,0.053827483,A,X,AX
1820117,654.7,7.2744446,2.312038,90,0.31783018,0.05397318,A,X,AX
7810300,652.43,7.2492223,3.055345,90,0.4214721,0.05411837,A,X,AX
1450300,650.96,7.232889,3.269804,90,0.4520744,0.05426323,A,X,AX
7060589,648.8,7.2088885,2.3229022,90,0.3222275,0.05440761,A,X,AX
6800589,648.6,7.2066665,2.2770867,90,0.3159695,0.054551948,A,X,AX
3000300,646.96,7.1884446,2.8507314,90,0.39657137,0.054695915,A,X,AX
8710589,646.7,7.1855555,2.7220926,90,0.3788284,0.05483983,A,X,AX
5550117,646.7,7.1855555,2.1649175,90,0.3012874,0.054983746,A,X,AX
460300,644.83997,7.1648884,2.8251393,90,0.39430332,0.055127244,A,X,AX
2350004,638.1,7.0899997,4.884119,90,0.68887436,0.055269245,A,Y,AY
6370589,638.1,7.0899997,2.2069883,90,0.31128186,0.055411242,A,X,AX
3430117,633.2,7.035556,1.9825253,90,0.2817866,0.055552155,A,X,AX
5570300,629.05,6.9894443,2.4661431,90,0.35283822,0.05569214,A,X,AX
5920589,628.1,6.9788885,2.2813604,90,0.32689452,0.055831913,A,X,AX
8430070,626.1,6.9566665,2.5853107,90,0.37163067,0.055971242,A,X,AX
8430691,625.7,6.9522223,2.0772295,90,0.2987864,0.056110483,A,X,AX
6840096,624.6,6.9399996,1.6274196,90,0.23449852,0.056249477,A,X,AX
7810004,623.6,6.928889,5.068813,90,0.7315477,0.056388248,A,Y,AY
2110117,623.0,6.922222,2.0547986,90,0.2968409,0.05652689,A,X,AX
8120300,622.31,6.9145555,3.8509023,90,0.55692697,0.056665376,A,Y,AY
8250589,619.5,6.883333,2.2312012,90,0.32414547,0.056803234,A,X,AX
6740589,619.1,6.8788886,2.1017647,90,0.30553842,0.056941006,A,X,AX
3680540,616.2,6.846667,2.2665224,90,0.33104026,0.057078134,A,X,AX
5910589,615.9,6.8433337,2.1707995,90,0.31721374,0.057215195,A,X,AX
1540691,615.4,6.837778,2.3260894,90,0.34018207,0.057352144,A,X,AX
2420300,614.57,6.8285556,2.8078108,90,0.41118664,0.057488907,A,X,AX
570117,614.1,6.8233333,2.1530252,90,0.31553861,0.057625566,A,X,AX
2550004,612.7,6.807778,4.661418,90,0.68471944,0.05776191,A,Y,AY
1880300,609.56,6.7728887,2.346835,90,0.34650427,0.05789756,A,X,AX
8220300,606.79,6.7421107,2.656234,90,0.39397663,0.058032595,A,X,AX
2110691,605.8,6.731111,2.3175755,90,0.34430802,0.058167405,A,X,AX
1510300,604.98,6.7219996,3.0321229,90,0.45107454,0.058302037,A,X,AX
4710117,600.3,6.67,2.3280628,90,0.3490349,0.05843563,A,X,AX
1880117,598.5,6.65,1.8553445,90,0.27899918,0.058568817,A,X,AX
8220691,597.0,6.633333,2.3066099,90,0.34773013,0.05870167,A,X,AX
10117,596.7,6.63,2.5551205,90,0.3853877,0.058834456,A,X,AX
2140300,595.869,6.6207666,2.4391637,90,0.36841106,0.058967058,A,X,AX
8850300,592.33,6.5814447,2.6821373,90,0.40753016,0.059098877,A,X,AX
1540300,590.27,6.5585556,3.3749444,90,0.51458657,0.059230234,A,Y,AY
2120117,590.2,6.557778,1.6652414,90,0.2539338,0.059361573,A,X,AX
8470300,590.1,6.5566664,3.1781929,90,0.48472694,0.05949289,A,X,AX
460004,588.6,6.54,4.696324,90,0.7180923,0.05962387,A,Y,AY
1820070,586.0,6.5111113,1.9623103,90,0.3013787,0.05975428,A,X,AX
1540070,585.3,6.503333,2.2595341,90,0.34744248,0.05988453,A,X,AX
8220070,585.2,6.5022225,2.5354998,90,0.38994357,0.060014755,A,X,AX
7140004,584.2,6.4911113,4.5859985,90,0.7065044,0.06014476,A,Y,AY
1470691,583.4,6.4822226,2.196554,90,0.33885816,0.060274586,A,X,AX
5540117,581.8,6.464444,2.1245654,90,0.328654,0.060404062,A,X,AX
6990691,578.7,6.4300003,2.0681887,90,0.32164675,0.06053284,A,X,AX
3110300,578.18,6.424222,2.6476731,90,0.41213912,0.060661506,A,X,AX
6710070,575.4,6.3933334,1.8151547,90,0.28391364,0.060789555,A,X,AX
1830004,573.2,6.368889,4.961371,90,0.779001,0.06091711,A,Y,AY
4410300,573.17,6.3685555,2.8251731,90,0.44361287,0.06104466,A,X,AX
2000691,573.0,6.366667,2.1774638,90,0.34201002,0.061172172,A,X,AX
7720117,572.66,6.362889,3.386025,90,0.5321522,0.061299607,A,Y,AY
4810117,572.6,6.3622217,1.945873,90,0.30584803,0.06142703,A,X,AX
460117,571.7,6.3522224,2.3417187,90,0.36864558,0.06155425,A,X,AX
1470117,568.8,6.3199997,2.3323421,90,0.3690415,0.06168083,A,X,AX
1310300,568.08,6.3120003,2.279661,90,0.361163,0.061807252,A,X,AX
6710117,566.5,6.2944446,2.2938297,90,0.3644213,0.06193332,A,X,AX
2840300,565.75,6.286111,2.33288,90,0.37111658,0.06205922,A,X,AX
4340300,565.6,6.2844443,2.8250053,90,0.44952348,0.062185083,A,X,AX
1180117,564.8,6.2755556,2.036041,90,0.32443997,0.062310774,A,X,AX
1340300,564.36,6.2706666,3.0346677,90,0.4839466,0.06243637,A,X,AX
1870117,563.4,6.26,1.8530146,90,0.2960087,0.06256175,A,X,AX
1440300,562.68,6.252,2.714967,90,0.43425578,0.062686965,A,X,AX
1470300,560.5,6.227778,2.7216525,90,0.43701825,0.062811695,A,X,AX
5810004,559.7,6.218889,4.439807,90,0.7139228,0.06293625,A,Y,AY
5570117,559.2,6.2133336,2.1429372,90,0.3448933,0.063060686,A,X,AX
4810691,558.4,6.204445,1.8723842,90,0.3017811,0.063184954,A,X,AX
1450004,558.2,6.2022223,4.4440336,90,0.7165228,0.06330917,A,Y,AY
1940300,557.78,6.197556,2.6335528,90,0.4249341,0.0634333,A,X,AX
920589,557.1,6.1899996,2.5980568,90,0.4197184,0.06355727,A,X,AX
4060300,555.51,6.1723332,2.4418557,90,0.39561307,0.06368089,A,X,AX
5310070,555.2,6.168889,2.120401,90,0.34372494,0.06380443,A,X,AX
1870004,555.0,6.1666665,4.7965107,90,0.77781254,0.06392794,A,Y,AY
1450691,554.8,6.1644444,2.0558665,90,0.33350393,0.064051405,A,X,AX
910300,554.2,6.157778,2.4948475,90,0.40515387,0.064174734,A,X,AX
1960004,552.5,6.138889,4.704879,90,0.7664056,0.06429768,A,Y,AY
3820300,551.82,6.1313334,2.640063,90,0.43058547,0.064420484,A,X,AX
8900300,550.99,6.122111,2.3195653,90,0.37888324,0.0645431,A,X,AX
3070300,550.5,6.116667,2.3767247,90,0.38856533,0.06466561,A,X,AX
460070,549.7,6.107778,2.4592512,90,0.40264252,0.06478793,A,X,AX
1400004,549.5,6.1055555,5.206335,90,0.8527209,0.06491022,A,Y,AY
7130300,549.11,6.101222,2.5322635,90,0.415042,0.065032415,A,X,AX
1870300,548.42,6.0935555,2.382441,90,0.39097717,0.065154456,A,X,AX
5210300,548.409,6.0934334,3.2228148,90,0.52889967,0.065276496,A,Y,AY
10691,548.2,6.091111,2.2667923,90,0.3721476,0.065398484,A,X,AX
6990300,546.24,6.069333,2.3036842,90,0.37956133,0.06552005,A,X,AX
4930004,545.9,6.065556,4.5100927,90,0.743558,0.06564153,A,Y,AY
570300,545.76,6.064,2.157423,90,0.35577556,0.06576298,A,X,AX
8590589,543.1,6.0344443,1.200764,90,0.19898501,0.06588384,A,X,AX
1810300,540.94,6.0104446,2.1950102,90,0.3651993,0.06600422,A,X,AX
1310004,539.8,5.9977775,4.4616714,90,0.7438874,0.06612434,A,Y,AY
3050300,536.52997,5.961444,2.920757,90,0.4899412,0.06624374,A,X,AX
740070,535.9,5.954445,2.072569,90,0.3480709,0.066363,A,X,AX
2110300,534.89,5.9432225,2.1850226,90,0.36764947,0.06648202,A,X,AX
5560117,534.3,5.9366665,1.806446,90,0.30428624,0.066600926,A,X,AX
460691,533.9,5.9322224,2.0759094,90,0.3499379,0.06671974,A,X,AX
1520004,533.0,5.922222,4.553324,90,0.768854,0.066838354,A,Y,AY
4110300,532.8,5.92,2.7727745,90,0.46837404,0.06695692,A,X,AX
2140117,532.7,5.918889,2.216531,90,0.3744843,0.06707547,A,X,AX
1680300,532.04,5.9115553,2.3270118,90,0.39363784,0.067193866,A,X,AX
2000300,530.4,5.8933334,2.1456933,90,0.36408824,0.0673119,A,X,AX
4200300,529.9,5.8877783,2.6696305,90,0.453419,0.06742982,A,X,AX
7900300,529.7,5.8855557,2.5115643,90,0.42673358,0.067547694,A,X,AX
2110070,529.5,5.883333,2.1955137,90,0.37317514,0.067665525,A,X,AX
7040300,526.839,5.8537664,2.5207472,90,0.43061972,0.06778277,A,X,AX
5170300,526.27,5.8474445,2.4176931,90,0.41346148,0.06789988,A,X,AX
7220117,525.7,5.841111,2.2091177,90,0.3782016,0.06801687,A,X,AX
2000070,525.7,5.841111,2.125548,90,0.36389443,0.06813385,A,X,AX
2350691,524.5,5.827778,2.086017,90,0.3579438,0.068250574,A,X,AX
7500117,524.4,5.826667,2.0639114,90,0.3542182,0.06836727,A,X,AX
6990004,524.2,5.824445,4.435437,90,0.76152104,0.06848392,A,Y,AY
4460300,521.4,5.7933335,2.4475074,90,0.42246962,0.068599954,A,X,AX
6990117,521.4,5.7933335,1.6749845,90,0.28912273,0.06871598,A,X,AX
3110691,521.1,5.79,2.0166192,90,0.34829348,0.06883195,A,X,AX
1400546,521.06,5.7895555,2.0029242,90,0.34595475,0.068947904,A,X,AX
5990300,520.98,5.7886662,2.3195622,90,0.40070754,0.069063835,A,X,AX
290300,519.85,5.7761106,2.2478962,90,0.38917124,0.06917952,A,X,AX
2550300,519.41,5.771222,2.736772,90,0.47421014,0.06929511,A,X,AX
10070,518.8,5.7644444,2.173968,90,0.37713403,0.06941056,A,X,AX
6780300,518.46,5.760667,1.9889847,90,0.34526986,0.06952594,A,X,AX
1450117,518.2,5.7577777,1.7752973,90,0.3083303,0.069641255,A,X,AX
5960300,518.08,5.7564445,2.1287394,90,0.36980107,0.069756545,A,X,AX
8170102,517.9,5.7544446,2.278535,90,0.39596087,0.0698718,A,X,AX
5350300,516.41,5.737889,2.3593564,90,0.41118893,0.06998672,A,X,AX
4420300,514.92,5.721333,2.2163677,90,0.3873866,0.070101306,A,X,AX
5990117,514.6,5.7177777,1.7868797,90,0.31251296,0.07021582,A,X,AX
4670756,513.6,5.7066665,2.6357014,90,0.46186358,0.07033011,A,X,AX
8750004,513.2,5.7022223,4.145906,90,0.7270684,0.070444316,A,Y,AY
1880691,511.3,5.681111,1.7470936,90,0.30752674,0.0705581,A,X,AX
1490117,511.1,5.678889,1.8553593,90,0.32671168,0.07067184,A,X,AX
1820004,511.0,5.677778,4.5118017,90,0.7946422,0.07078555,A,Y,AY
5570070,511.0,5.677778,1.7477933,90,0.3078305,0.07089927,A,X,AX
4890117,510.9,5.6766667,1.9387271,90,0.3415256,0.07101297,A,X,AX
1470070,510.3,5.67,2.037428,90,0.35933474,0.07112653,A,X,AX
1960300,509.88,5.6653333,2.364431,90,0.4173507,0.07123999,A,X,AX
1580117,509.6,5.6622224,2.095773,90,0.37013257,0.0713534,A,X,AX
410117,509.4,5.66,2.384821,90,0.42134646,0.07146676,A,X,AX
2840117,509.1,5.6566668,1.7569797,90,0.31060335,0.071580045,A,X,AX
7500004,509.0,5.6555557,4.631696,90,0.81896394,0.071693316,A,Y,AY
1730300,508.69,5.652111,2.4358795,90,0.43096808,0.07180652,A,X,AX
5320070,508.4,5.6488886,1.8727642,90,0.33152792,0.07191966,A,X,AX
2290117,507.1,5.6344447,1.9750216,90,0.3505264,0.072032504,A,X,AX
2120691,505.2,5.6133337,1.7449251,90,0.31085363,0.072144926,A,X,AX
8120117,505.0,5.611111,1.9444213,90,0.34653053,0.07225731,A,X,AX
6580300,504.51,5.6056666,2.271503,90,0.4052155,0.072369576,A,X,AX
2000117,504.1,5.6011114,1.8346536,90,0.32755172,0.07248176,A,X,AX
8120070,503.6,5.595556,2.0738018,90,0.37061587,0.07259382,A,X,AX
2090117,503.4,5.5933332,1.4709013,90,0.262974,0.07270585,A,X,AX
